Name,Date,Market Cap,Volume,Open,Close
Bitcoin,24/1/22,687575973800.00,22865032969.00,36306.00,36306.00
Bitcoin,23/1/22,666220701468.00,35517336417.00,35180.00,36306.00
Bitcoin,22/1/22,692855029163.00,38296960033.00,36509.00,35180.00
Bitcoin,21/1/22,774235809673.00,20930163211.00,40708.00,36509.00
Bitcoin,20/1/22,790507925309.00,19626113310.00,41750.00,40708.00
Bitcoin,19/1/22,803962100418.00,18897950050.00,42395.00,41750.00
Bitcoin,18/1/22,800822650384.00,17694929626.00,42298.00,42395.00
Bitcoin,17/1/22,816325578941.00,14452346389.00,43120.00,42298.00
Bitcoin,16/1/22,816800318527.00,14651008625.00,43227.00,43120.00
Bitcoin,15/1/22,816129314317.00,20238314435.00,43121.00,43227.00
Bitcoin,14/1/22,806510860232.00,43905745871.00,42608.00,43121.00
Bitcoin,13/1/22,832460077955.00,28250302540.00,43982.00,42608.00
Bitcoin,12/1/22,809621515508.00,22813557398.00,42777.00,43982.00
Bitcoin,11/1/22,792407724468.00,27984634062.00,41870.00,42777.00
Bitcoin,10/1/22,791648558215.00,18016718174.00,41862.00,41870.00
Bitcoin,9/1/22,792892599976.00,23337017233.00,41757.00,41862.00
Bitcoin,8/1/22,787735561341.00,79685254648.00,41527.00,41757.00
Bitcoin,7/1/22,819522879407.00,26366602397.00,43216.00,41527.00
Bitcoin,6/1/22,827723202715.00,31837641246.00,43647.00,43216.00
Bitcoin,5/1/22,876242689666.00,24895990584.00,45938.00,43647.00
Bitcoin,4/1/22,880330191985.00,21890019532.00,46531.00,45938.00
Bitcoin,3/1/22,897536090321.00,33756128242.00,47387.00,46531.00
Bitcoin,2/1/22,904551946917.00,18904585811.00,47816.00,47387.00
Bitcoin,1/1/22,876192941903.00,25895349605.00,46320.00,47816.00
Bitcoin,31/12/21,892648631306.00,23753871435.00,47192.00,46320.00
Bitcoin,30/12/21,874314106560.00,26348739119.00,46507.00,47192.00
Bitcoin,29/12/21,902655839568.00,29538983233.00,47725.00,46507.00
Bitcoin,28/12/21,960280703700.00,22793878137.00,50774.00,47725.00
Bitcoin,27/12/21,961723851972.00,19632044502.00,50853.00,50774.00
Bitcoin,26/12/21,958099737763.00,17235296606.00,50663.00,50853.00
Bitcoin,25/12/21,962312381228.00,22535489970.00,50889.00,50663.00
Bitcoin,24/12/21,960809259355.00,26419703745.00,50901.00,50889.00
Bitcoin,23/12/21,921888029985.00,21887790446.00,48756.00,50901.00
Bitcoin,22/12/21,929203956014.00,25764127608.00,49145.00,48756.00
Bitcoin,21/12/21,890808857615.00,29356191956.00,47117.00,49145.00
Bitcoin,20/12/21,884905649264.00,23002876886.00,46807.00,47117.00
Bitcoin,19/12/21,887944269264.00,23305069270.00,46970.00,46807.00
Bitcoin,18/12/21,875783175210.00,30617760444.00,46329.00,46970.00
Bitcoin,17/12/21,901558072619.00,24699414444.00,47695.00,46329.00
Bitcoin,16/12/21,925006387197.00,33782603071.00,48937.00,47695.00
Bitcoin,15/12/21,915015634617.00,30152105690.00,48411.00,48937.00
Bitcoin,14/12/21,882570058437.00,29628245402.00,46696.00,48411.00
Bitcoin,13/12/21,945932497231.00,19871029748.00,50051.00,46696.00
Bitcoin,12/12/21,930603779264.00,24619129767.00,49242.00,50051.00
Bitcoin,11/12/21,893919955030.00,29611257205.00,47304.00,49242.00
Bitcoin,10/12/21,904878061657.00,27269362515.00,47886.00,47304.00
Bitcoin,9/12/21,954800139986.00,26590164539.00,50530.00,47886.00
Bitcoin,8/12/21,956961313926.00,30083305920.00,50648.00,50530.00
Bitcoin,7/12/21,953396710270.00,36126018722.00,50462.00,50648.00
Bitcoin,6/12/21,932015145132.00,32826574574.00,49268.00,50462.00
Bitcoin,5/12/21,930097457942.00,55941408415.00,49162.00,49268.00
Bitcoin,4/12/21,1016040747070.00,39527112726.00,53786.00,49162.00
Bitcoin,3/12/21,1067406204923.00,36296342257.00,56508.00,53786.00
Bitcoin,2/12/21,1079838995017.00,49383073891.00,57169.00,56508.00
Bitcoin,1/12/21,1076804436724.00,35723038604.00,57011.00,57169.00
Bitcoin,30/11/21,1092574224476.00,30985196647.00,57849.00,57011.00
Bitcoin,29/11/21,1080980050981.00,27659464987.00,57238.00,57849.00
Bitcoin,28/11/21,1030781591913.00,28256851068.00,54533.00,57238.00
Bitcoin,27/11/21,1016487054820.00,41325811946.00,53828.00,54533.00
Bitcoin,26/11/21,1112182356757.00,33721097081.00,58898.00,53828.00
Bitcoin,25/11/21,1080039673037.00,31695369988.00,57198.00,58898.00
